,loss
0,2.854640007019043
1,2.0967912673950195
2,1.603269100189209
3,1.4492104053497314
4,1.391041874885559
5,1.362898588180542
6,1.3468728065490723
7,1.3336889743804932
8,1.327721118927002
9,1.3236247301101685
10,1.3171354532241821
11,1.313433289527893
12,1.3087693452835083
13,1.3060928583145142
14,1.3004876375198364
15,1.2964035272598267
16,1.290450930595398
17,1.2866283655166626
18,1.282472014427185
19,1.278124451637268
20,1.2756829261779785
21,1.2723394632339478
22,1.2707475423812866
23,1.2676057815551758
24,1.2651832103729248
25,1.2617130279541016
26,1.259140133857727
27,1.2585746049880981
28,1.2547187805175781
29,1.2524263858795166
30,1.249166488647461
31,1.2476097345352173
32,1.2451841831207275
33,1.2423967123031616
34,1.2412893772125244
35,1.23850417137146
36,1.2362842559814453
37,1.235593557357788
38,1.2323256731033325
39,1.2298163175582886
40,1.2287122011184692
41,1.2266871929168701
42,1.2247288227081299
43,1.2219009399414062
44,1.2205445766448975
45,1.2176965475082397
46,1.2162247896194458
47,1.2140958309173584
48,1.2128114700317383
49,1.2075157165527344
50,1.2057594060897827
51,1.2048840522766113
52,1.2008544206619263
53,1.1977986097335815
54,1.195983648300171
55,1.192345142364502
56,1.1900527477264404
57,1.184053659439087
58,1.179753303527832
59,1.1766470670700073
60,1.1706876754760742
61,1.1661382913589478
62,1.1635409593582153
63,1.1559771299362183
64,1.1519508361816406
65,1.1439942121505737
66,1.137641429901123
67,1.129966139793396
68,1.1219536066055298
69,1.1132580041885376
70,1.1039029359817505
71,1.0945193767547607
72,1.0842676162719727
73,1.0745742321014404
74,1.0623466968536377
75,1.0497080087661743
76,1.0373224020004272
77,1.02265202999115
78,1.0096240043640137
79,0.9948086142539978
80,0.9812815189361572
81,0.963001012802124
82,0.9478198289871216
83,0.9294196963310242
84,0.9156742691993713
85,0.8987374305725098
86,0.8853160738945007
87,0.8657979965209961
88,0.8512697219848633
89,0.8357301354408264
90,0.8182751536369324
91,0.8039647936820984
92,0.7896207571029663
93,0.7728016972541809
94,0.7558897137641907
95,0.7440655827522278
96,0.7304209470748901
97,0.7114723920822144
98,0.6993480324745178
99,0.6897038817405701
